      1 Yang, Tao
      1 Yao, Kaisheng
      1 Yatskar, Mark
      1 Ye, Zheng
      1 Yih, Scott Wen-Tau
      1 Yih, Wen-Tau
      1 Yi, Jingjie
      1 Yoran, Ori
      1 Young, T
      1 Young, Tom
      1 You, Zeyu
      1 Yuan, Siyu
      1 Yu, Dian
      1 Yu, Dong
      1 Yu, Jane A
      1 Yu, Philip S
      1 Yu, Youngjae
      1 Zahiri, Sayyed M
      1 Zeng, Michael
      1 Zettlemoyer, Luke
      1 Zhang, Bin
      1 Zhang, Dawei
      1 Zhang, Jinchao
      1 Zhang, Saizheng
      1 Zhang, Wenkai
      1 Zhang, Yi
      1 Zhang, Zhiyao
      1 Zhang, Zhuosheng
      1 Zhao, Hai
      1 Zhao, Weixiang
      1 Zhao, Yanyan
      1 Zhong, Peixiang
      1 Zhou, Denny
      1 Zhou, H
      1 Zhou, Ming
      1 Zhou, Shanlin
      1 Zhou, Xuhui
      1 Zhou, Yang
      1 Zhu, Chenguang
      1 Ziems, Caleb
      1 Zweig, Geoffrey
      2 Arabshahi, Forough
      2 Clark, Peter
      2 Cui, Leyang
      2 Farhadi, Ali
      2 Forbes, Maxwell
      2 Galley, Michel
      2 Gelbukh, Alexander
      2 Holtzman, Ari
      2 Hong, Pengfei
      2 Hwang, Seung-Won
      2 Ilievski, Filip
      2 Jhamtani, Harsh
      2 Jiang, Liwei
      2 Khanna, Rahul
      2 Khot, Tushar
      2 Kim, Seokhwan
      2 Lee, Jennifer
      2 Lee, Seyeon
      2 Long, Robert
      2 Lourie, Nicholas
      2 Ma, Kaixin
      2 Malaviya, Chaitanya
      2 Mitchell, Tom
      2 Oltramari, Alessandro
      2 Qin, Lianhui
      2 Sabharwal, Ashish
      2 Shen, Siqi
      2 Tur, Gokhan
      2 Vinyals, Oriol
      2 Welleck, Sean
      2 Weston, Jason
      2 Yeo, Jinyoung
      2 Zhang, Yue
      2 Zhou, Jie
      3 Bengio, Yoshua
      3 Gao, Jianfeng
      3 Gopalakrishnan, Karthik
      3 Hedayatnia, Behnam
      3 Hwang, Jena D
      3 Lin, Bill Yuchen
      3 Lu, Ximing
      3 Sakaguchi, Keisuke
      4 Ghosal, Deepanway
      4 Heck, Larry
      4 Liu, Yang
      4 Majumder, Navonil
      4 Mihalcea, Rada
      4 Poria, Soujanya
      4 Pujara, Jay
      4 Rashkin, Hannah
      4 Shwartz, Vered
      4 West, Peter
      4 Zellers, Rowan
      5 Bisk, Yonatan
      5 Bosselut, Antoine
      5 Hakkani-Tur, Dilek
      5 Ren, Xiang
      5 Sap, Maarten
      5 Zhou, Pei
     11 Bhagavatula, Chandra
     12 Le Bras, Ronan
     26 Choi, Yejin
